Name,Position,Team,Injury Status,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,TO,GP,MIN,FTM,2PM,A/TO,PF
Jock Landale, C,SAS ,Healthy,5.7,2.3,0.3,0.3,0.3,.556,1.000,1.0,0.3,3,10.6,1.3,0.7,0.00,1.3
Mason Plumlee," PF,C",CHA ,Healthy,5.7,7.0,2.3,0.7,0.3,.500,.750,0.0,0.3,3,19.6,1.0,2.3,2.00,2.7
Ivica Zubac, C,LAC ,Healthy,8.0,9.0,1.5,1.5,0.5,.600,.500,0.0,2.0,2,25.7,2.0,3.0,1.50,3.5
Aaron Gordon," SF,PF",DEN ,Healthy,16.0,3.0,3.0,1.0,0.0,.625,1.000,2.0,4.0,1,30.4,4.0,3.0,0.80,1.0
Maurice Harkless," SF,PF",SAC ,Healthy,5.3,2.7,0.7,0.7,1.0,.500,.000,0.7,1.3,3,26.3,0.0,1.7,1.50,2.7
Ja Morant, PG,MEM ,Healthy,16.0,6.0,8.0,1.0,2.0,.500,.600,1.0,4.0,1,28.0,3.0,5.0,2.00,2.0
Aaron Nesmith," SG,SF",BOS ,Healthy,5.0,3.7,0.3,0.0,0.3,.294,.750,0.7,1.0,3,20.3,1.0,1.0,0.00,2.0
Willy Hernangomez, C,NOR ,Healthy,7.5,6.5,1.0,0.0,0.0,.625,1.000,0.0,0.0,2,13.7,2.5,2.5,0.00,1.5
Nicolas Batum," SF,PF,SG",LAC ,Healthy,7.5,0.5,1.0,0.0,1.0,.500,.000,2.5,1.0,2,21.2,0.0,0.0,1.00,1.5
Gordon Hayward," SG,SF",CHA ,Healthy,7.5,2.5,2.0,0.5,0.0,.286,.000,1.5,2.0,2,24.5,0.0,1.5,0.30,0.0
Clint Capela, C,ATL , OUT ,15.0,11.0,1.0,3.0,0.0,.700,.200,0.0,0.0,1,24.2,1.0,7.0,0.00,0.0
Jahmi'us Ramsey," SG,PG",SAC , G-League ,5.0,1.3,0.3,0.0,0.3,.353,.500,0.3,0.7,3,9.5,0.7,1.7,1.00,0.7
Kevin Love," PF,C",CLE ,Healthy,15.0,7.0,4.0,0.0,1.0,.400,1.000,2.0,0.0,1,23.1,5.0,2.0,0.00,0.0
Ricky Rubio, PG,CLE ,Healthy,15.0,5.0,10.0,1.0,3.0,.500,1.000,2.0,4.0,1,29.2,1.0,4.0,2.50,2.0
D.J. Augustin, PG,HOU ,Healthy,7.5,1.0,1.0,0.0,1.5,.333,.750,1.0,1.5,2,17.0,1.5,1.5,1.00,0.0
Nassir Little, SF,POR , DTD ,7.5,8.5,4.5,2.5,1.0,.417,.714,0.0,2.0,2,32.9,2.5,2.5,5.00,2.5
Raul Neto," PG,SG",WAS ,Healthy,15.0,7.0,4.0,0.0,0.0,.500,1.000,1.0,1.0,1,29.3,2.0,5.0,4.00,5.0
Cam Thomas, SG,BKN ,Healthy,15.0,7.0,4.0,1.0,1.0,.350,.000,1.0,4.0,1,36.0,0.0,6.0,1.00,2.0
Armoni Brooks, PG,HOU ,Healthy,15.0,0.0,4.0,1.0,2.0,.462,.000,3.0,0.0,1,32.0,0.0,3.0,0.00,1.0
Trevor Ariza," SG,SF,PF",LAL ,Healthy,7.5,3.0,1.0,0.0,0.5,1.000,.500,2.0,0.0,2,18.0,0.5,0.5,0.00,1.0
Juan Toscano-Anderson," SF,PF",GSW ,Healthy,5.0,4.7,1.3,0.3,0.7,.462,.667,0.3,1.3,3,17.5,0.7,1.7,1.00,1.3
Sterling Brown," SG,SF",DAL ,Healthy,7.5,7.5,1.5,0.0,0.5,.400,.000,1.5,1.0,2,26.5,0.0,1.5,0.00,1.5
Luka Garza, C,DET ,Healthy,4.7,1.7,0.0,0.0,0.0,.546,.250,0.3,0.3,3,7.0,0.3,1.7,0.00,1.0
Ish Smith, PG,CHA ,Healthy,4.7,1.3,2.0,0.3,1.0,.333,.000,0.7,1.7,3,16.8,0.0,1.3,1.80,2.0
Jarrett Allen, C,CLE , OUT ,14.0,5.0,2.0,1.0,1.0,.667,1.000,0.0,0.0,1,29.1,2.0,6.0,0.00,2.0
Justise Winslow," PF,PG,SF",LAC ,Healthy,7.0,5.0,1.0,0.0,0.5,.600,.000,1.0,1.5,2,18.4,0.0,2.0,0.30,1.0
Cody Martin," SG,SF",CHA , OUT ,14.0,3.0,5.0,0.0,2.0,1.000,.750,1.0,0.0,1,26.4,3.0,4.0,0.00,1.0
Oshae Brissett," SF,PF",IND ,Healthy,14.0,5.0,1.0,1.0,1.0,.625,1.000,2.0,1.0,1,23.7,2.0,3.0,1.00,1.0
Tyler Cook," PF,C",CHI , G-League ,6.5,0.5,0.0,0.0,0.0,.667,.900,0.0,1.0,2,9.6,4.5,1.0,0.00,1.5
Hassani Gravett," PG,SG",ORL ,Healthy,6.5,3.5,3.0,0.0,1.0,.400,1.000,1.5,1.5,2,24.4,1.0,0.5,4.50,2.5
