Name,Position,Team,Injury Status,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,TO,GP,MIN,FTM,2PM,A/TO,PF
David Nwaba," SG,SF",HOU ,Healthy,8.0,7.5,1.0,2.0,1.0,.375,1.000,0.5,1.0,2,28.7,1.5,2.5,0.50,2.0
Admiral Schofield," SF,PF",ORL ,Healthy,5.3,5.0,1.0,1.0,0.3,.583,.000,0.7,1.0,3,21.3,0.0,1.7,2.00,2.7
Al Horford," PF,C",BOS ,Healthy,16.0,9.0,6.0,1.0,1.0,.546,.000,4.0,1.0,1,34.4,0.0,2.0,6.00,1.0
Draymond Green," PF,C",GSW , OUT ,8.0,6.5,9.5,3.0,2.5,.467,.000,1.0,4.5,2,33.8,0.0,2.5,4.30,2.5
Gordon Hayward," SG,SF",CHA ,Healthy,8.0,3.5,3.5,0.0,2.0,.294,1.000,1.5,2.5,2,29.3,1.5,1.0,2.80,1.5
JaVale McGee, C,PHO ,Healthy,5.3,5.0,1.3,1.0,0.0,.636,1.000,0.0,1.7,3,17.5,0.7,2.3,3.50,3.3
Jae Crowder," SF,PF",PHO , OUT ,7.5,4.0,1.5,1.0,1.0,.333,.000,1.5,1.0,2,31.4,0.0,1.5,0.50,4.0
Monte Morris," PG,SG",DEN , DTD ,7.5,3.5,4.0,0.0,0.5,.286,.000,1.5,0.5,2,30.0,0.0,1.5,5.00,2.0
Javonte Green," PG,SG",CHI ,Healthy,7.5,5.0,0.5,0.5,0.0,.833,1.000,0.5,0.5,2,28.8,2.0,2.0,1.00,1.5
Norman Powell," SG,SF",POR ,Healthy,15.0,2.0,2.0,1.0,0.0,.250,.889,1.0,1.0,1,30.4,8.0,2.0,2.00,3.0
Jalen Smith," PF,C",PHO ,Healthy,15.0,9.0,0.0,0.0,1.0,.400,.833,2.0,2.0,1,29.2,5.0,2.0,0.00,1.0
Jonas Valanciunas, C,NOR ,Healthy,15.0,10.0,2.0,1.0,0.0,.364,.750,1.0,4.0,1,30.1,6.0,3.0,0.50,3.0
Matisse Thybulle," SG,SF",PHI ,Healthy,5.0,3.7,1.7,1.3,1.0,.438,.000,0.3,0.0,3,31.7,0.0,2.0,0.00,3.7
Udonis Haslem," PF,C",MIA , OUT ,7.5,5.0,0.5,0.0,0.5,.546,1.000,0.0,1.0,2,11.4,1.5,3.0,0.00,3.0
Robin Lopez, C,ORL ,Healthy,5.0,1.7,1.7,0.3,0.0,.583,.500,0.0,1.7,3,13.5,0.3,2.3,2.00,0.7
Moses Brown, C,DAL ,Healthy,5.0,4.0,0.0,0.3,0.0,.600,.500,0.0,1.3,3,9.7,1.0,2.0,0.00,2.3
Torrey Craig," SG,SF",IND ,Healthy,7.5,6.0,1.0,0.5,0.0,.546,.000,1.5,0.5,2,20.0,0.0,1.5,1.00,3.0
Grant Williams," SF,PF",BOS ,Healthy,15.0,6.0,1.0,0.0,1.0,.571,1.000,3.0,3.0,1,27.8,4.0,1.0,0.30,1.0
Jordan McLaughlin, PG,MIN ,Healthy,4.7,3.3,5.0,0.0,1.0,.263,.500,0.0,1.7,3,22.3,1.3,1.7,4.50,1.3
Matt Thomas," PG,SG",CHI ,Healthy,7.0,2.5,1.5,0.0,0.5,.444,1.000,2.0,0.0,2,19.1,1.0,0.0,0.00,0.0
Ayo Dosunmu," PG,SG",CHI ,Healthy,7.0,1.0,1.0,1.0,0.0,.700,.000,0.0,1.5,2,24.1,0.0,3.5,2.00,2.5
Avery Bradley," SG,SF",LAL ,Healthy,14.0,4.0,0.0,0.0,2.0,.462,.000,2.0,0.0,1,30.9,0.0,4.0,0.00,3.0
Zeke Nnaji," PF,C",DEN ,Healthy,7.0,2.0,0.0,0.0,0.0,.462,.500,0.0,0.5,2,18.3,1.0,3.0,0.00,2.0
Clint Capela, C,ATL ,Healthy,7.0,12.5,2.0,1.5,0.0,.400,.250,0.0,1.0,2,27.1,1.0,3.0,4.00,2.5
Domantas Sabonis," PF,C",IND ,Healthy,14.0,16.0,5.0,0.0,2.0,.294,.667,0.0,1.0,1,35.1,4.0,5.0,5.00,1.0
Tomas Satoransky," PG,SG",NOR ,Healthy,4.7,2.3,4.0,0.3,0.7,.313,.667,0.7,1.3,3,16.5,0.7,1.0,10.00,0.3
Taj Gibson," PF,C",NYK ,Healthy,4.7,4.0,0.3,0.0,0.3,.750,.500,0.3,0.0,3,13.4,0.3,1.7,0.00,1.7
Gary Clark," SF,PF",NOR ,Healthy,4.3,2.3,0.7,0.3,0.3,.308,.500,1.3,0.0,3,15.1,0.3,0.0,0.00,0.0
Dillon Brooks," SG,SF",MEM , OUT ,13.0,1.0,2.0,0.0,2.0,.400,.000,1.0,2.0,1,34.7,0.0,5.0,1.00,5.0
Onyeka Okongwu," PF,C",ATL , OUT ,13.0,8.0,3.0,3.0,1.0,.600,1.000,0.0,1.0,1,34.0,1.0,6.0,3.00,2.0
Vlatko Cancar," SF,PF",DEN , DTD ,6.5,4.5,1.0,0.0,0.0,.857,.000,0.5,0.5,2,17.2,0.0,2.5,0.00,1.5
P.J. Washington," PF,C",CHA , OUT ,13.0,9.0,5.0,2.0,0.0,.833,.000,3.0,0.0,1,26.7,0.0,2.0,0.00,4.0
Oshae Brissett," SF,PF",IND ,Healthy,6.0,5.5,1.5,0.5,0.5,.444,.800,0.0,0.0,2,24.2,2.0,2.0,0.00,1.5
Larry Nance," PF,C",POR ,Healthy,12.0,5.0,3.0,0.0,0.0,.455,1.000,1.0,1.0,1,32.4,1.0,4.0,3.00,2.0
Blake Griffin," PF,C",BKN ,Healthy,6.0,5.5,1.5,0.0,0.5,.364,.667,0.0,0.0,2,13.6,2.0,2.0,0.00,1.5
Marvin Bagley," PF,C",SAC ,Healthy,6.0,6.5,1.0,0.0,0.0,.308,.750,0.5,0.0,2,19.0,1.5,1.5,0.00,2.5
James Johnson," PF,C,SF",BKN ,Healthy,6.0,6.0,2.0,1.0,0.5,.429,.000,0.0,1.0,2,24.4,0.0,3.0,0.50,2.5
Ish Smith, PG,CHA ,Healthy,6.0,2.5,5.0,1.0,0.5,.364,1.000,1.0,1.0,2,19.1,1.0,1.0,10.00,1.5
Troy Brown," SG,SF",CHI ,Healthy,6.0,2.0,1.5,0.0,0.5,.455,.000,1.0,0.0,2,18.9,0.0,1.5,0.00,1.0
Jabari Parker," SF,PF",BOS ,Healthy,6.0,2.5,1.0,0.0,0.5,.400,1.000,1.5,1.0,2,10.8,0.5,0.5,2.00,0.5
Anfernee Simons," PG,SG",POR ,Healthy,11.0,1.0,2.0,0.0,0.0,.500,1.000,1.0,2.0,1,27.0,2.0,3.0,1.00,4.0
Cheick Diallo," PF,C",DET ,Healthy,5.5,4.5,0.0,0.0,0.5,.500,.833,0.0,0.5,2,10.9,2.5,1.5,0.00,3.0
Royce O'Neale," SF,PF",UTH ,Healthy,3.7,3.3,2.7,0.0,1.3,.286,.500,0.7,0.7,3,30.7,0.3,0.7,7.00,3.0
Romeo Langford, SG,BOS ,Healthy,5.5,2.5,1.5,2.0,3.0,.308,.500,0.5,0.0,2,30.9,1.0,1.5,0.00,2.0
Tyler Johnson," PG,SG",PHI ,Healthy,3.7,2.0,0.7,0.3,0.3,.400,.000,1.0,0.3,3,12.7,0.0,0.3,2.00,1.3
Donte DiVincenzo," PG,SG",MIL ,Healthy,5.5,4.0,0.5,0.0,0.5,.222,1.000,1.0,0.5,2,15.7,2.5,0.0,1.00,0.5
Tyus Jones, PG,MEM ,Healthy,3.7,1.0,1.7,0.0,0.7,.313,.000,0.3,0.7,3,16.6,0.0,1.3,4.00,0.3
Daishen Nix," SG,PG",HOU ,Healthy,11.0,3.0,3.0,0.0,3.0,.625,.000,1.0,3.0,1,25.5,0.0,4.0,1.00,0.0
Killian Tillie, C,MEM ,Healthy,5.0,2.5,1.0,1.0,1.0,.333,.500,0.5,0.5,2,22.7,0.5,1.5,1.00,2.0
Landry Shamet," PG,SG",PHO ,Healthy,3.3,1.3,0.3,0.0,0.7,.286,.000,0.7,0.3,3,14.0,0.0,0.7,0.00,0.7
Wayne Ellington," SG,SF",LAL ,Healthy,5.0,3.0,1.0,0.0,0.0,.308,.000,1.0,0.5,2,21.3,0.0,1.0,2.00,1.5
D.J. Augustin, PG,HOU , OUT ,10.0,1.0,1.0,0.0,1.0,.286,1.000,1.0,2.0,1,18.7,5.0,1.0,0.50,0.0
Grayson Allen," SG,SF",MIL ,Healthy,3.3,2.0,2.0,0.7,0.3,.188,1.000,0.7,0.0,3,22.5,0.7,0.3,0.00,2.0
Tre Jones, PG,SAS ,Healthy,3.3,3.0,5.0,0.0,0.0,.500,.000,0.0,0.7,3,15.6,0.0,1.7,13.00,1.3
Josh Green," SG,SF",DAL ,Healthy,9.0,4.0,10.0,0.0,2.0,.429,1.000,0.0,1.0,1,26.5,3.0,3.0,10.00,4.0
Chimezie Metu," PF,C",SAC ,Healthy,4.5,5.5,1.0,0.0,0.0,.308,.000,0.5,0.5,2,18.2,0.0,1.5,1.00,1.5
