Name,Position,Team,Injury Status,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,TO,GP,MIN,FTM,2PM,A/TO,PF
Joel Embiid," PF,C",PHI ,Healthy,31.0,7.0,4.5,1.5,0.5,.576,.852,0.5,4.5,2,29.5,11.5,9.0,3.40,3.0
Ja Morant, PG,MEM ,Healthy,20.3,5.7,8.0,1.0,0.3,.417,.741,0.3,3.0,3,33.4,6.7,6.3,8.60,1.3
Jaylen Brown," SG,SF",BOS ,Healthy,30.0,10.0,4.5,0.5,0.0,.489,.857,5.0,1.5,2,39.5,3.0,6.0,1.00,3.5
DeMar DeRozan," SF,PF,SG",CHI ,Healthy,19.7,6.7,5.3,0.3,0.3,.533,.688,0.0,2.0,3,30.7,3.7,8.0,10.80,1.7
Christian Wood," PF,C",HOU ,Healthy,19.7,8.3,2.0,1.0,1.0,.489,.667,2.3,1.0,3,32.1,2.7,5.0,0.30,2.0
Luguentz Dort," SG,SF",OKC ,Healthy,19.3,3.7,1.7,0.3,0.3,.432,.846,3.0,0.0,3,31.9,3.7,3.3,0.00,2.3
Jayson Tatum," SF,PF",BOS ,Healthy,28.5,9.5,2.5,1.0,1.0,.450,.895,2.0,6.0,2,39.6,8.5,7.0,1.10,2.5
Giannis Antetokounmpo," PF,C",MIL ,Healthy,28.0,12.5,9.5,2.0,0.5,.600,.650,0.5,5.5,2,32.5,6.5,10.0,3.50,2.0
Cam Thomas, SG,BKN ,Healthy,13.8,3.5,0.5,0.0,1.3,.467,.727,1.3,2.0,4,26.3,2.0,4.0,0.30,1.5
De'Aaron Fox, PG,SAC ,Healthy,18.3,4.3,3.3,0.3,0.7,.449,.667,0.3,2.7,3,34.6,3.3,7.0,4.00,2.7
Desmond Bane," PG,SG,SF",MEM ,Healthy,18.3,3.3,3.0,0.0,2.3,.425,.846,3.3,3.0,3,30.0,3.7,2.3,4.70,2.3
Anfernee Simons," PG,SG",POR , DTD ,27.0,4.5,8.5,0.0,0.0,.488,.833,4.5,3.5,2,36.6,2.5,5.5,5.20,2.5
Jaren Jackson," PF,C",MEM ,Healthy,18.0,9.3,0.7,4.7,1.7,.487,.737,1.3,2.0,3,28.1,4.7,4.7,1.00,3.3
Fred VanVleet," PG,SG",TOR ,Healthy,26.5,3.0,4.5,0.0,2.0,.400,.714,6.0,2.5,2,41.4,2.5,3.0,3.70,2.5
Tyrese Haliburton," PG,SG",SAC ,Healthy,17.3,2.0,9.0,1.0,2.3,.514,.800,2.0,2.7,3,36.4,2.7,4.3,10.50,1.3
Zach LaVine," SG,SF",CHI , DTD ,17.3,4.0,5.0,0.3,1.3,.409,1.000,2.0,3.3,3,32.2,3.3,4.0,8.70,1.7
Lonnie Walker," SG,SF",SAS ,Healthy,17.0,3.0,2.7,0.3,1.0,.340,.800,1.7,1.3,3,28.3,4.0,4.0,7.00,2.0
Ben McLemore," SG,SF",POR ,Healthy,17.0,2.7,2.0,1.0,1.0,.460,.714,4.0,1.3,3,28.3,1.7,1.7,6.00,3.0
Jonas Valanciunas, C,NOR ,Healthy,17.0,15.0,2.0,0.3,0.3,.548,.824,1.0,3.0,3,31.3,4.7,4.7,1.60,2.0
Pascal Siakam," PF,C",TOR ,Healthy,25.5,8.5,7.0,0.0,2.5,.439,.857,1.5,3.0,2,41.0,6.0,7.5,5.30,4.0
Khris Middleton," SF,PF,SG",MIL ,Healthy,25.0,6.0,9.0,0.0,2.0,.531,1.000,4.0,4.5,2,33.2,4.0,4.5,5.10,2.0
Harrison Barnes," SF,PF",SAC ,Healthy,16.7,5.7,2.0,0.7,0.7,.548,.727,2.7,0.3,3,32.4,2.7,3.0,2.00,1.0
Terrence Ross," SG,SF",ORL ,Healthy,24.5,3.0,2.5,1.0,0.5,.543,.750,2.5,1.0,2,32.5,3.0,7.0,5.00,2.5
Nikola Vucevic, C,CHI ,Healthy,16.3,6.3,3.0,0.7,1.0,.438,1.000,1.0,1.0,3,30.8,1.3,6.0,5.00,1.0
Lamar Stevens," SF,PF",CLE ,Healthy,16.3,4.7,1.7,0.3,1.7,.710,1.000,0.7,1.7,3,28.0,1.0,6.7,3.50,2.7
Terry Rozier," PG,SG",CHA ,Healthy,24.5,5.5,4.0,0.0,2.0,.514,.778,3.0,0.5,2,40.2,3.5,6.0,4.00,3.0
Donovan Mitchell," PG,SG",UTH ,Healthy,24.0,4.0,4.0,0.0,1.5,.415,.889,3.0,2.5,2,34.8,4.0,5.5,5.00,4.5
Josh Giddey," PG,SG",OKC ,Healthy,16.0,5.3,7.7,0.0,1.3,.476,.000,2.7,2.0,3,33.2,0.0,4.0,11.50,1.0
Jeff Green," SF,PF",DEN ,Healthy,15.7,3.3,1.3,0.0,0.3,.541,.667,0.3,1.7,3,24.7,2.0,6.3,4.00,2.0
Spencer Dinwiddie," PG,SG",WAS ,Healthy,15.7,2.0,8.0,0.0,1.3,.432,.923,1.0,0.0,3,32.3,4.0,4.3,0.00,4.3
Day'Ron Sharpe," PF,C",BKN ,Healthy,11.3,6.5,0.8,1.3,0.3,.636,.750,0.0,1.8,4,19.2,0.8,5.3,1.70,3.8
Gordon Hayward," SG,SF",CHA ,Healthy,22.0,4.0,5.0,0.5,2.0,.679,.000,3.0,2.0,2,36.3,0.0,6.5,5.00,1.5
Amir Coffey," SF,SG",LAC ,Healthy,14.7,5.3,5.0,0.0,1.7,.533,1.000,3.0,1.3,3,34.0,1.0,2.3,12.50,2.0
Bryn Forbes," PG,SG",SAS ,Healthy,14.7,2.0,2.0,0.0,1.3,.417,1.000,3.3,0.7,3,25.0,1.3,1.7,2.50,2.7
Lauri Markkanen," PF,C",CLE ,Healthy,14.7,5.7,1.3,0.7,0.3,.516,1.000,2.7,0.0,3,32.4,1.3,2.7,0.00,1.7
Eric Gordon," SG,SF",HOU ,Healthy,22.0,2.0,3.0,0.5,0.5,.667,.750,3.5,2.0,2,29.5,4.5,3.5,3.00,1.0
Saddiq Bey, SF,DET ,Healthy,21.5,5.5,2.5,1.0,0.0,.517,.750,3.5,2.0,2,36.8,3.0,4.0,2.50,2.0
Evan Mobley," C,PF",CLE ,Healthy,14.3,7.7,4.7,1.3,1.0,.571,.429,0.0,4.0,3,37.8,1.0,6.7,3.90,2.0
Luka Doncic," PG,SG",DAL ,Healthy,21.5,12.5,9.5,0.0,1.0,.348,.800,1.5,5.0,2,35.9,4.0,6.5,4.30,1.5
Jarrett Allen, C,CLE ,Healthy,14.0,10.3,1.3,1.7,0.3,.643,.750,0.0,2.0,3,30.3,2.0,6.0,1.00,1.0
Kentavious Caldwell-Pope," PG,SG,SF",WAS ,Healthy,14.0,5.3,2.3,0.7,0.3,.424,.857,2.7,1.3,3,30.2,2.0,2.0,5.50,1.0
Klay Thompson," SG,SF",GSW ,Healthy,14.0,2.7,1.7,0.7,0.3,.357,1.000,2.3,2.0,3,20.0,1.7,2.7,2.50,1.7
Brandon Clarke," SF,PF,C",MEM ,Healthy,14.0,6.7,1.0,1.3,0.7,.667,.750,0.0,0.0,3,22.4,2.0,6.0,0.00,1.0
Coby White," PG,SG",CHI ,Healthy,14.0,2.3,1.7,0.0,0.7,.556,.857,2.0,1.3,3,25.2,2.0,3.0,1.00,2.0
