Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Hassan Whiteside,C,32,UTA,33,0,15.1,3.1,4.9,.627,0.0,0.0,,3.1,4.9,.627,.627,1.7,2.5,.695,2.2,4.3,6.6,0.3,0.2,1.3,0.9,2.8,7.8
Joe Wieskamp,SG,22,SAS,7,0,3.9,0.4,0.9,.500,0.1,0.6,.250,0.3,0.3,1.000,.583,0.1,0.3,.500,0.1,0.0,0.1,0.3,0.1,0.3,0.0,0.3,1.1
Aaron Wiggins,SG,23,OKC,17,8,19.0,2.4,4.4,.554,0.8,2.2,.342,1.6,2.1,.778,.642,1.1,1.5,.692,0.5,2.2,2.7,1.0,0.5,0.2,0.8,1.7,6.6
Andrew Wiggins,SF,26,GSW,31,31,31.3,7.1,14.5,.487,2.3,5.4,.434,4.7,9.2,.518,.567,2.5,3.6,.690,1.3,3.2,4.5,1.8,0.9,0.6,1.6,1.8,19.0
Brandon Williams,G,22,POR,2,0,6.0,1.0,1.5,.667,0.0,0.0,,1.0,1.5,.667,.667,2.0,3.5,.571,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0
Grant Williams,PF,23,BOS,31,10,22.6,2.6,5.2,.509,1.5,3.4,.453,1.1,1.8,.618,.658,1.1,1.2,.892,0.7,2.8,3.5,1.0,0.5,0.6,0.7,2.0,7.9
Kenrich Williams,SF,27,OKC,32,0,20.8,2.7,5.8,.462,0.9,2.2,.406,1.8,3.7,.496,.538,0.6,1.1,.556,1.3,2.6,3.8,1.9,0.9,0.2,0.8,1.8,6.9
Lou Williams,PG,35,ATL,25,0,14.3,2.5,6.5,.383,0.6,2.0,.320,1.8,4.5,.411,.432,1.3,1.6,.846,0.3,1.3,1.6,1.4,0.6,0.1,0.9,1.0,6.9
Patrick Williams,PF,20,CHI,5,5,25.0,2.6,4.6,.565,0.6,1.2,.500,2.0,3.4,.588,.630,0.8,0.8,1.000,0.2,2.0,2.2,0.6,0.6,0.4,0.4,1.8,6.6
Robert Williams,C,24,BOS,28,28,28.5,4.5,6.0,.744,0.0,0.0,,4.5,6.0,.744,.744,1.1,1.7,.625,3.9,5.1,8.9,1.8,0.8,1.9,1.3,1.9,10.0
Ziaire Williams,SF,20,MEM,19,0,17.8,1.8,5.2,.354,0.8,3.4,.246,1.0,1.8,.559,.434,0.2,0.3,.667,0.3,1.2,1.5,0.6,0.4,0.3,0.6,1.7,4.7
D.J. Wilson,F,25,TOR,2,1,23.5,4.0,5.5,.727,0.0,1.0,.000,4.0,4.5,.889,.727,4.0,5.0,.800,0.5,6.5,7.0,2.0,2.5,0.5,1.0,2.5,12.0
Dylan Windler,SF,25,CLE,22,0,10.1,0.9,2.2,.417,0.5,1.4,.355,0.4,0.8,.529,.531,0.1,0.2,.750,0.4,1.5,1.9,0.8,0.3,0.1,0.4,1.1,2.5
Justise Winslow,SF,25,LAC,28,1,10.6,1.4,3.3,.430,0.2,0.8,.227,1.3,2.5,.493,.457,0.3,0.6,.438,0.5,2.4,2.9,1.0,0.4,0.4,0.8,1.0,3.3
Cassius Winston,PG,23,WAS,2,0,3.5,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,1.0,1.0,1.000,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0
Christian Wood,C,26,HOU,35,34,30.8,6.2,13.2,.469,1.6,4.7,.341,4.6,8.5,.538,.529,2.8,4.6,.605,1.9,8.5,10.3,2.2,0.6,0.9,1.8,2.4,16.8
Robert Woodard II,SF,22,SAC,6,0,2.2,0.2,0.5,.333,0.2,0.2,1.000,0.0,0.3,.000,.500,0.3,0.3,1.000,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.3,0.8
Delon Wright,SG,29,ATL,30,3,16.5,1.4,3.2,.427,0.5,1.1,.455,0.9,2.1,.413,.505,0.5,0.6,.789,0.8,2.1,2.9,2.3,0.7,0.2,0.7,0.6,3.7
McKinley Wright IV,PG,23,MIN,1,0,4.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
Moses Wright,F,23,LAC,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Thaddeus Young,PF,33,SAS,23,0,14.0,2.8,5.0,.570,0.0,0.1,.000,2.8,4.8,.586,.570,0.3,0.8,.444,1.5,2.0,3.4,2.4,0.9,0.3,1.0,1.4,6.0
Trae Young,PG,23,ATL,32,32,34.5,9.5,21.0,.452,2.7,7.3,.371,6.8,13.8,.495,.516,5.8,6.5,.895,0.8,3.1,3.9,9.4,1.0,0.1,4.0,1.8,27.5
Omer Yurtseven,C,23,MIA,27,3,12.0,2.0,4.2,.465,0.0,0.2,.000,2.0,4.0,.486,.465,0.7,1.1,.633,1.5,3.4,4.9,0.6,0.4,0.6,0.8,1.5,4.6
Cody Zeller,C,29,POR,24,0,13.3,1.8,3.2,.566,0.0,0.2,.000,1.8,3.0,.597,.566,1.5,2.0,.766,1.8,2.8,4.6,0.8,0.3,0.3,0.7,2.1,5.1
Ivica Zubac,C,24,LAC,35,35,25.0,3.6,5.5,.656,0.0,0.0,,3.6,5.5,.656,.656,2.4,3.3,.737,2.7,5.5,8.2,1.1,0.5,1.2,1.4,2.3,9.6
